the topology category statisticcal information
the total topology number is: 47
type      Event Number
0         2012      
2         108       
1         30        
5         4         
7         4         
8         4         
14        4         
25        4         
16        3         
11        3         
17        2         
19        2         
12        2         
29        2         
31        2         
33        2         
38        2         
43        2         
18        1         
6         1         
20        1         
21        1         
22        1         
23        1         
24        1         
4         1         
26        1         
27        1         
28        1         
13        1         
30        1         
3         1         
32        1         
15        1         
34        1         
35        1         
36        1         
37        1         
9         1         
39        1         
40        1         
41        1         
42        1         
10        1         
44        1         
45        1         
46        1         
